COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  txt       REG               1,13     70624           361691703 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_slsqplib.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   1871104           361691901 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_flapack.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    179168           361690953 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/sparse/linalg/_eigen/arpack/_arpacklib.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     53904           361696050 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/sklearn/utils/_sorting.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    233208           361691877 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp_update.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    140112           361690899 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/sparse/linalg/_propack.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     94616           361691733 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_group_columns.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    280960           361690908 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/sparse/linalg/_dsolve/_superlu.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    103520           361691697 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_minpack.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     77944           361691792 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/givens_elimination.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     70744           361691772 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_lsap.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   8261072           361692648 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/tokenizers/tokenizers.abi3.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   3614784           361690816 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/sparse/_sparsetools.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    217832           361690753 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/transform/_rigid_transform_cy.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    182816           361691855 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_trlib/_trlib.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     69232           361691730 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_direct.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    514688           361690727 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_ckdtree.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    408288           361690747 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/transform/_rotation_cy.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    145984           361691769 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_moduleTNC.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     86624           361691652 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/integrate/_odepack.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    720832           361690743 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_qhull.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    562536           361690724 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_distance_pybind.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    104240           361691660 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/integrate/_quadpack.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    171904           361691715 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_bglu_dense.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    405928           361691804 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_highspy/_highs_options.cpython-312-darwin.so
